"st_dis_recip","first_name","last_name","party","grants","amount_awarded","total_outlays","not_disbursed"
"DE00","Sarah","McBride","D",1,490912,9623.5,481288.5
"IL13","Nikki","Budzinski","D",2,549634,73888.6,475745.4
"MI13","Shri","Thanedar","D",1,474253,0,474253
"MI07","Tom","Barrett","R",1,499998,31702.14,468295.86
"NC05","Virginia","Foxx","R",1,5e+05,36602.71,463397.29
"MS04","Mike","Ezell","R",2,575000,122518,452482
"IL01","Jonathan","Jackson","D",1,5e+05,48041.99,451958.01
"TX07","Lizzie","Fletcher","D",1,5e+05,48462.64,451537.36
"MA03","Lori","Trahan","D",1,5e+05,67411.33,432588.67
"IN02","Rudy","Yakym","R",1,495146,68154.66,426991.34
"MO04","Mark","Alford","R",1,499342,74227.72,425114.28
"PA05","Mary Gay","Scanlon","D",1,5e+05,82915.05,417084.95
"VA10","Suhas","Subramanyam","D",1,5e+05,83256.1,416743.9
"MA05","Katherine","Clark","D",1,5e+05,84323.07,415676.93
"MA02","James","McGovern","D",1,5e+05,95937.86,404062.14
"HI02","Jill","Tokuda","D",1,5e+05,100293.32,399706.68
"CO02","Joe","Neguse","D",1,5e+05,105493,394507
"MO07","Eric","Burlison","R",1,5e+05,106234.91,393765.09
"IL02","Robin","Kelly","D",1,472919,1e+05,372919
"ID01","Russ","Fulcher","R",1,450000,97746.68,352253.32
"NY17","Michael","Lawler","R",1,425616,76210.13,349405.87
"MD05","Steny","Hoyer","D",1,5e+05,186666,313334
"OH03","Joyce","Beatty","D",1,5e+05,194846.47,305153.53
"MD02","Johnny","Olszewski","D",1,370775,72851.8,297923.2
"NC12","Alma","Adams","D",1,5e+05,232410.37,267589.63
"CA38","Linda","Sánchez","D",1,2e+05,0,2e+05
"FL02","Neal","Dunn","R",2,2e+05,0,2e+05
"GA05","Nikema","Williams","D",1,2e+05,0,2e+05
"TN02","Tim","Burchett","R",1,2e+05,0,2e+05
"VA04","Jennifer","McClellan","D",1,2e+05,0,2e+05
"IN07","André","Carson","D",1,199983,0,199983
"CA36","Ted","Lieu","D",1,5e+05,325653.67,174346.33
"LA04","Mike","Johnson","R",1,150000,15000,135000
"FL27","Maria","Salazar","R",1,150000,23304.26,126695.74
"MA09","William","Keating","D",1,1e+05,0,1e+05
"MS02","Bennie","Thompson","D",2,1e+05,0,1e+05
"AL06","Gary","Palmer","R",1,75000,0,75000
"NY11","Nicole","Malliotakis","R",1,75000,0,75000
"MI02","John","Moolenaar","R",1,30455,0,30455
"TX29","Sylvia","Garcia","D",1,50000,19761.51,30238.49
"OR03","Maxine","Dexter","D",1,498000,498000,0
